doi,abstract,title,journal,description,cover_date,first_name,last_name,date
10.1002/wcs.105,"Analogical mapping is a core process in human cognition. A number of valuable computational models of analogy have been created, capturing aspects of how people compare representations, retrieve potential analogs from memory, and learn from the results. In the past 25 years, this area has progressed rapidly, fueled by strong collaboration between psychologists and Artificial Intelligence (AI) scientists, with contributions from linguists and philosophers as well. There is now considerable consensus regarding the constraints governing the mapping process. However, computational models still differ in their focus, with some aimed at capturing the range of analogical phenomena at the cognitive level and others aimed at modeling how analogical processes might be implemented in neural systems. Some recent work has focused on modeling interactions between analogy and other processes, and on modeling analogy as a part of larger cognitive systems. © 2010 John Wiley & Sons, Ltd.",Computational models of analogy,Wiley Interdisciplinary Reviews: Cognitive Science,Review,5/1/2011,Ken,Forbus,2011
10.1006/ccog.1999.0391,"Baars (1988, 1997) has proposed a psychological theory of consciousness, called global workspace theory. The present study describes a software agent implementation of that theory, called ""Conscious"" Mattie (CMattie). CMattie operates in a clerical domain from within a UNIX operating system, sending messages and interpreting messages in natural language that organize seminars at a university. CMattie fleshes out global workspace theory with a detailed computational model that integrates contemporary architectures in cognitive science and artificial intelligence. Baars (1997) lists the psychological ""facts that any complete theory of consciousness must explain"" in his appendix to In the Theater of Consciousness; global workspace theory was designed to explain these ""facts."" The present article discusses how the design of CMattie accounts for these facts and thereby the extent to which it implements global workspace theory. © 1999 Academic Press.",A Software Agent Model of Consciousness,Consciousness and Cognition,Article,9/1/1999,Stan,Franklin,1999
10.1006/ijhc.1994.1046,"Dealing with uncertainty problems in intelligent systems has attracted a lot of attention in the AI community. Quite a few techniques have been proposed. Among them, the Dempster-Shafer theory of evidence (DS theory) has been widely appreciated. In DS theory, Dempster’s combination rule plays a major role. However, it has been pointed out that the application domains of the rule are rather limited and the application of the theory sometimes gives unexpected results. We have previously explored the problem with Dempster’s combination rule and proposed an alternative combination mechanism in generalized incidence calculus. In this paper we give a comprehensive comparison between generalized incidence calculus and the Dempster-Shafer theory of evidence. We first prove that these two theories have the same ability in representing evidence and combining DS-independent evidence. We then show that the new approach can deal with some dependent situations while Dempster’s combination rule cannot. Various examples in the paper show the ways of using generalized incidence calculus in expert systems. © 1994 Academic Press, Inc.",A comprehensive comparison between generalized incidence calculus and the dempster-shafer theory of evidence,International Journal of Human Computer Studies,Article,1/1/1994,Alan,Bundy,1994
10.1006/ssre.2000.0687,"Using differential item validity (DIV) methodology, this study investigated whether the items of the AIDS-Related Social Skills (ASAS) questionnaire had the same interpretation by gender and country. Polytomous logistic regression was used to test if the coefficients for individual items were the same by gender and country. The subjects (n = 1133) were Black Anglophone African 10th-grade students from Nigeria (n = 396), Kenya (n = 280), Zimbabwe (n = 319), and Sierra Leone (n = 138). The analyses showed that many items had significant DIV. Because 12 of the 30 test items (i.e., 40%) showed significant DIV, it suggested that the ASAS may not be internally valid by gender and across countries. Further qualitative work is needed to understand the extensive DIV that was statistically found in this study. © 2001 Academic Press.",Assessing differential item validity of the AIDS-related social skills questionnaire among african adolescents,Social Science Research,Article,1/1/2001,W,Ross,2001
10.1007/1-4020-8151-0_32,"Ontologies implemented in RDF(S), DAML+OIL, and OWL should be evaluated from the point of view of knowledge representation before using them in Semantic Web applications. Several language-dependent ontology validation tools and ontology platforms, such as OilEd with FaCT, can be used in order to evaluate RDF(S), DAML+OIL and OWL ontologies. This paper offers two main contributions. The first of these exams whether previous ontology tools detect knowledge representation problems in RDF(S), DAML+OIL, and OWL concept taxonomies. Indeed, such tools do not focus on detecting inconsistencies and redundancies in concept taxonomies. The second contribution is ODEval, a language-dependent tool for evaluating, from the point of view of knowledge representation, concept taxonomies in ontologies implemented in such languages. ODEval complements previous ontology tools when we want to evaluate RDF(S), DAML+OIL, and OWL concept taxonomies. © 2004 Springer Science + Business Media, Inc.","ODEval: A tool for evaluating RDF(S), DAML+OIL, and OWL concept taxonomies",IFIP Advances in Information and Communication Technology,Conference Paper,1/1/2004,Asunción Gómez,Pérez,2004
10.1007/11424550_12,"Exploiting the structure of a document allows for more powerful information retrieval techniques. In this article a basic approach is discussed for the retrieval of XML document fragments. Based on a vector-space model for text retrieval we aim at investigating various strategies that influence the retrieval performance of an XML-based IR system. The first extension of the system uses a schema-based approach that assumes that authors tag their text to emphasise on particular pieces of content that are of importance. Based on the schema used by the document collection, the system can easily derive the children of mixed content nodes. Our hypothesis is that those child nodes are more important than other nodes. The second approach discussed here is based on a horizontal fragmentation of the inverse document frequencies, used by the vector space model. The underlying assumption states that the distribution of terms is related to the semantical structure of the document. However, we observed that the IEEE collection is not a good example of semantic tagging. The third approach investigates how the performance of the retrieval system can improve for the 'Content Only' task by using a set of a-priori defined cut-off nodes that define 'logical' document fragments that are of interest to a user. © Springer-Verlag Berlin Heidelberg 2005.",The utrecht blend: Basic ingredients for an XML retrieval system,Lecture Notes in Computer Science,Conference Paper,1/1/2005,Virginia,Dignum,2005
10.1007/11564096_37,"In this paper we consider latent variable models and introduce a new u-likelihood concept for estimating the distribution over hidden variables. One can derive an estimate of parameters from this distribution. Our approach differs from the Bayesian and Maximum Likelihood (ML) approaches. It gives an alternative to Bayesian inference when we don't want to define a prior over parameters and gives an alternative to the ML method when we want a better estimate of the distribution over hidden variables. As a practical implementation, we present a u-updating algorithm based on the mean field theory to approximate the distribution over hidden variables from the u-likelihood. This algorithm captures some of the correlations among hidden variables by estimating reaction terms. Those reaction terms are found to penalize the likelihood. We show that the u-updating algorithm becomes the EM algorithm as a special case in the large sample limit. The useful behavior of our method is confirmed for the case of mixture of Gaussians by comparing to the EM algorithm. © Springer-Verlag Berlin Heidelberg 2005.",u-likelihood and u-updating algorithms: Statistical inference in latent variable models,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2005,Zoubin,Ghahramani,2005
10.1007/11564096_73,"Processes involving change over time, uncertainty, and rich relational structure are common in the real world, but no general algorithms exist for learning models of them. In this paper we show how Markov logic networks (MLNs), a recently developed approach to combining logic and probability, can be applied to time-changing domains. We then show how existing algorithms for parameter and structure learning in MLNs can be extended to this setting. We apply this approach in two domains: modeling the spread of research topics in scientific communities, and modeling faults in factory assembly processes. Our experiments show that it greatly outperforms purely logical (ILP) and purely probabilistic (DBN) learners. © Springer-Verlag Berlin Heidelberg 2005.",Learning models of relational stochastic processes,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,12/1/2005,Pedro,Domingos,2005
10.1007/11801603_1,"AI systems must be able to learn, reason logically, and handle uncertainty. While much research has focused on each of these goals individually, only recently have we begun to attempt to achieve all three at once. In this talk, I describe Markov logic, a representation that combines first-order logic and probabilistic graphical models, and algorithms for learning and inference in it. Syntactically, Markov logic is first-order logic augmented with a weight for each formula. Semantically, a set of Markov logic formulas represents a probability distribution over possible worlds, in the form of a Markov network with one feature per grounding of a formula in the set, with the corresponding weight. Formulas are learned from relational databases using inductive logic programming techniques. Weights can be learned either generatively (using pseudo-likelihood optimization) or discriminatively (using a voted perceptron algorithm). Inference is performed by a weighted satisfiability solver or by Markov chain Monte Carlo, operating on the minimal subset of the ground network required for answering the query. Experiments in link prediction, entity resolution and other problems illustrate the promise of this approach. This work, joint with Stanley Kok, Hoifung Poon, Matthew Richardson, and Parag Singla, is described in further detail in Domingos et al. [1]. An' open-source implementation of Markov logic and the algorithms described in this talk is available in the Alchemy package [2]. © Springer-Verlag Berlin Heidelberg 2006.","Learning, logic, and probability: A unified view",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2006,Pedro,Domingos,2006
10.1007/11874850_2,"AI systems must be able to learn, reason logically, and handle uncertainty. While much research has focused on each of these goals individually, only recently have we begun to attempt to achieve all three at once. In this talk, I describe Markov logic, a representation that combines first-order logic and probabilistic graphical models, and algorithms for learning and inference in it. Syntactically, Markov logic is first-order logic augmented with a weight for each formula. Semantically, a set of Markov logic formulas represents a probability distribution over possible worlds, in the form of a Markov network with one feature per grounding of a formula in the set, with the corresponding weight. Formulas are learned from relational databases using inductive logic programming techniques. Weights can be learned either generatively (using pseudo-likelihood optimization) or discriminatively (using a voted perceptron algorithm). Inference is performed by a weighted satisfiability solver or by Markov chain Monte Carlo, operating on the minimal subset of the ground network required for answering the query. Experiments in link prediction, entity resolution and other problems illustrate the promise of this approach. This work, joint with Stanley Kok, Hoifung Poon, Matthew Richardson, and Parag Singla, is described in further detail in Domingos et al. [1]. An opensource implementation of Markov logic and the algorithms described in this talk is available in the Alchemy package [2]. © Springer-Verlag Berlin Heidelberg 2006.","Learning, logic, and probability: A unified view",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2006,Pedro,Domingos,2006
10.1007/11903697_7,"Evolutionary Learning Classifier Systems (LCSs) are rule based systems that have been used effectively in concept learning. XCS is a prominent LCS that uses genetic algorithms and reinforcement learning techniques. In traditional machine learning (ML), early stopping has been investigated extensively to the extent that it is now a default mechanism in many systems. However, there has been a belief that EC methods are more resilient to overfitting. Therefore, this topic is under-investigated in the evolutionary computation literature and has not been investigated in LCS. In this paper, we show that it is necessary to stop evolution in LCS using a stopping criteria other than a maximum number of generations and that evolution may suffer from overfitting similar to other ML methods. © Springer-Verlag Berlin Heidelberg 2006.",The role of early stopping and population size in XCS for intrusion detection,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2006,Hussein,Abbass,2006
10.1007/3-540-34518-3_1,"In 1991, the DARPA Knowledge Sharing Effort ([88], p. 37) envisioned a new way to build intelligent systems. It proposed the following: Building knowledge-based systems today usually entails constructing new knowledge bases from scratch. It could be instead done by assembling reusable components. System developers would then only need to worry about creating the specialized knowledge and reasoners new to the specific task of their system. This new system would interoperate with existing systems, using them to perform some of its reasoning. In this way, declarative knowledge, problem-solving techniques and reasoning services would all be shared among systems. This approach would facilitate building bigger and better systems and cheaply. Static knowledge is modeled by means of ontologies while problem solving methods specify generic reasoning mechanisms. Both types of components can be viewed as complementary entities that can be used to configure new knowledge-based systems from existing reusable components. Since DARPA's idea, considerable progress has been made in developing the conceptual bases to build technology that allows reusing and sharing knowledge components. Ontologies and problem solving methods (PSMs) have been created to share and reuse knowledge and reasoning behavior across domains and tasks. In this evolution, the most important fact has been the emergence of the Semantic Web. According to [10], the Semantic Web is an extension of the current Web in which information is given well-defined meaning, better enabling computers and people to work in cooperation. This cooperation can be achieved by using shared knowledge components, and so ontologies and PSMs have become key instruments in developing the Semantic Web. Currently, ontologies are widely used in knowledge engineering, artificial intelligence and computer science, in applications related to knowledge management, natural language processing, e-commerce, intelligent integration information, information retrieval, database design and integration, bio-informatics, education, etc. In this chapter, we present the basics about ontologies, and show what activities should be carried out during the ontology development process, what principles should be followed in ontology design, and what methods, methodologies, software tools and languages are available to give support to each one of these activities. First, in Sect. 1.2, we define the word 'ontology' and we briefly explaining its roots in philosophy. Section 1.3 is devoted to explain which are the main components that can be used to model ontologies. In Sect. 1.4, we present the main ontology design principles. In Sect. 1.5, we describe the ontology development process in the context of the Semantic Web, where ontologies can be highly distributed and present many links among each other (hence the notion of networked ontologies). In Sect. 1.6, we describe the development of ontologies and the life cycle. In Sect. 1.7, we describe the methods, methodologies and tools commonly used for the whole ontology development process or only for specific activities. Among them we pay attention to those aimed at ontology learning, which reduce the effort needed during the knowledge acquisition process; at ontology merging, which generates a unique target ontology from several source ontologies; at ontology alignment, which establishes different types of mappings between ontologies (hence preserving the original ones); and at ontology evaluation, which evaluates ontology content. In the implementation activity description, we present ontology languages that can be used to implement ontologies. Finally, conclusions and future lines of research are presented in Sect. 1.8. © 2006 Springer-Verlag Berlin Heidelberg.","Ontological engineering: Principles, methods, tools and languages",Ontologies for Software Engineering and Software Technology,Book Chapter,12/1/2006,Asunción Gómez,Pérez,2006
10.1007/3-540-36189-8_20,"© Springer-Verlag Berlin Heidelberg 2002.Increasing computational capabilities and decreasing costs of commonly used devices, and the concomitant development of short range, ad-hoc networking technologies, will help realize the pervasive computing paradigm. In this paper, we present the use of semantically rich descriptions for devices to discover, and cooperate with, others in their vicinity. In particular, we describe our ongoing projects that have usedDAMLfor service discovery, service composition, data management, and trust based security in pervasive computing environments.","Me-services: A framework for secure and personalized discovery, composition and management of services in pervasive environments",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2002,Tim,Finin,2002
10.1007/3-540-36285-1_24,"Interest in XML databases has been growing over the last few years. In this paper, we study the problem of incorporating probabilistic information into XML databases. We propose the Probabilistic Interval XML (PIXml for short) data model in this paper. Using this data model, users can express probabilistic information within XML markups. In addition, we provide two alternative formal model-theoretic semantics for PIXml data. The first semantics is a ""global"" semantics which is relatively intuitive, but is not directly amenable to computation. The second semantics is a ""local"" semantics which is more amenable to computation. We prove several results linking the two semantics together. To our knowledge, this is the first formal model theoretic semantics for probabilistic interval XML. We then provide an operational semantics that may be used to compute answers to queries and that is correct for a large class of probabilistic instances. © Springer-Verlag Berlin Heidelberg 2003.",Probabilistic interval XML,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Article,1/1/2003,Lise,Getoor,2003
