"doi","abstract","title","journal","description","cover_date","first_name","last_name","date","year"
"10.1002/wcs.105","analogical mapping core process human cognition number valuable computational models analogy created capturing aspects people compare representations retrieve potential analogs memory learn results past years area progressed rapidly fueled strong collaboration psychologists artificial intelligence ai scientists contributions linguists philosophers well now considerable consensus regarding constraints governing mapping process however computational models still differ focus aimed capturing range analogical phenomena cognitive level others aimed modeling analogical processes might implemented neural systems recent work focused modeling interactions analogy processes modeling analogy part larger cognitive systems john wiley sons ltd","Computational models of analogy","Wiley Interdisciplinary Reviews: Cognitive Science","Review",2011-05-01,"Ken","Forbus",2011,"2011"
"10.1006/ccog.1999.0391","baars proposed psychological theory consciousness called global workspace theory present study describes software agent implementation theory called conscious mattie cmattie cmattie operates clerical domain within unix operating system sending messages interpreting messages natural language organize seminars university cmattie fleshes global workspace theory detailed computational model integrates contemporary architectures cognitive science artificial intelligence baars lists psychological facts complete theory consciousness must explain appendix theater consciousness global workspace theory designed explain facts present article discusses design cmattie accounts facts thereby extent implements global workspace theory academic press","A Software Agent Model of Consciousness","Consciousness and Cognition","Article",1999-09-01,"Stan","Franklin",1999,"1999"
"10.1006/ijhc.1994.1046","dealing uncertainty problems intelligent systems attracted lot attention ai community quite techniques proposed among dempstershafer theory evidence ds theory widely appreciated ds theory dempster’s combination rule plays major role however pointed application domains rule rather limited application theory sometimes gives unexpected results previously explored problem dempster’s combination rule proposed alternative combination mechanism generalized incidence calculus paper give comprehensive comparison generalized incidence calculus dempstershafer theory evidence first prove two theories ability representing evidence combining dsindependent evidence show new approach can deal dependent situations dempster’s combination rule various examples paper show ways using generalized incidence calculus expert systems academic press inc","A comprehensive comparison between generalized incidence calculus and the dempster-shafer theory of evidence","International Journal of Human Computer Studies","Article",1994-01-01,"Alan","Bundy",1994,"1994"
"10.1006/ssre.2000.0687","using differential item validity div methodology study investigated whether items aidsrelated social skills asas questionnaire interpretation gender country polytomous logistic regression used test coefficients individual items gender country subjects n black anglophone african thgrade students nigeria n kenya n zimbabwe n sierra leone n analyses showed many items significant div test items ie showed significant div suggested asas may internally valid gender across countries qualitative work needed understand extensive div statistically found study academic press","Assessing differential item validity of the AIDS-related social skills questionnaire among african adolescents","Social Science Research","Article",2001-01-01,"W","Ross",2001,"2001"
"10.1007/1-4020-8151-0_32","ontologies implemented rdfs damloil owl evaluated point view knowledge representation using semantic web applications several languagedependent ontology validation tools ontology platforms oiled fact can used order evaluate rdfs damloil owl ontologies paper offers two main contributions first exams whether previous ontology tools detect knowledge representation problems rdfs damloil owl concept taxonomies indeed tools focus detecting inconsistencies redundancies concept taxonomies second contribution odeval languagedependent tool evaluating point view knowledge representation concept taxonomies ontologies implemented languages odeval complements previous ontology tools want evaluate rdfs damloil owl concept taxonomies springer science business media inc","ODEval: A tool for evaluating RDF(S), DAML+OIL, and OWL concept taxonomies","IFIP Advances in Information and Communication Technology","Conference Paper",2004-01-01,"Asunción Gómez","Pérez",2004,"2004"
"10.1007/11424550_12","exploiting structure document allows powerful information retrieval techniques article basic approach discussed retrieval xml document fragments based vectorspace model text retrieval aim investigating various strategies influence retrieval performance xmlbased ir system first extension system uses schemabased approach assumes authors tag text emphasise particular pieces content importance based schema used document collection system can easily derive children mixed content nodes hypothesis child nodes important nodes second approach discussed based horizontal fragmentation inverse document frequencies used vector space model underlying assumption states distribution terms related semantical structure document however observed ieee collection good example semantic tagging third approach investigates performance retrieval system can improve content task using set apriori defined cutoff nodes define logical document fragments interest user © springerverlag berlin heidelberg ","The utrecht blend: Basic ingredients for an XML retrieval system","Lecture Notes in Computer Science","Conference Paper",2005-01-01,"Virginia","Dignum",2005,"2005"
"10.1007/11564096_37"," paper consider latent variable models introduce new ulikelihood concept estimating distribution hidden variables one can derive estimate parameters distribution approach differs bayesian maximum likelihood ml approaches gives alternative bayesian inference dont want define prior parameters gives alternative ml method want better estimate distribution hidden variables practical implementation present uupdating algorithm based mean field theory approximate distribution hidden variables ulikelihood algorithm captures correlations among hidden variables estimating reaction terms reaction terms found penalize likelihood show uupdating algorithm becomes em algorithm special case large sample limit useful behavior method confirmed case mixture gaussians comparing em algorithm © springerverlag berlin heidelberg ","u-likelihood and u-updating algorithms: Statistical inference in latent variable models","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","Conference Paper",2005-01-01,"Zoubin","Ghahramani",2005,"2005"
"10.1007/11564096_73","processes involving change time uncertainty rich relational structure common real world general algorithms exist learning models paper show markov logic networks mlns recently developed approach combining logic probability can applied timechanging domains show existing algorithms parameter structure learning mlns can extended setting apply approach two domains modeling spread research topics scientific communities modeling faults factory assembly processes experiments show greatly outperforms purely logical ilp purely probabilistic dbn learners © springerverlag berlin heidelberg ","Learning models of relational stochastic processes","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","Conference Paper",2005-12-01,"Pedro","Domingos",2005,"2005"
"10.1007/11801603_1","ai systems must able learn reason logically handle uncertainty much research focused goals individually recently begun attempt achieve three talk describe markov logic representation combines firstorder logic probabilistic graphical models algorithms learning inference syntactically markov logic firstorder logic augmented weight formula semantically set markov logic formulas represents probability distribution possible worlds form markov network one feature per grounding formula set corresponding weight formulas learned relational databases using inductive logic programming techniques weights can learned either generatively using pseudolikelihood optimization discriminatively using voted perceptron algorithm inference performed weighted satisfiability solver markov chain monte carlo operating minimal subset ground network required answering query experiments link prediction entity resolution problems illustrate promise approach work joint stanley kok hoifung poon matthew richardson parag singla described detail domingos et al opensource implementation markov logic algorithms described talk available alchemy package © springerverlag berlin heidelberg ","Learning, logic, and probability: A unified view","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","Conference Paper",2006-01-01,"Pedro","Domingos",2006,"2006"
"10.1007/11874850_2","ai systems must able learn reason logically handle uncertainty much research focused goals individually recently begun attempt achieve three talk describe markov logic representation combines firstorder logic probabilistic graphical models algorithms learning inference syntactically markov logic firstorder logic augmented weight formula semantically set markov logic formulas represents probability distribution possible worlds form markov network one feature per grounding formula set corresponding weight formulas learned relational databases using inductive logic programming techniques weights can learned either generatively using pseudolikelihood optimization discriminatively using voted perceptron algorithm inference performed weighted satisfiability solver markov chain monte carlo operating minimal subset ground network required answering query experiments link prediction entity resolution problems illustrate promise approach work joint stanley kok hoifung poon matthew richardson parag singla described detail domingos et al opensource implementation markov logic algorithms described talk available alchemy package © springerverlag berlin heidelberg ","Learning, logic, and probability: A unified view","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","Conference Paper",2006-01-01,"Pedro","Domingos",2006,"2006"
"10.1007/11903697_7","evolutionary learning classifier systems lcss rule based systems used effectively concept learning xcs prominent lcs uses genetic algorithms reinforcement learning techniques traditional machine learning ml early stopping investigated extensively extent now default mechanism many systems however belief ec methods resilient overfitting therefore topic underinvestigated evolutionary computation literature investigated lcs paper show necessary stop evolution lcs using stopping criteria maximum number generations evolution may suffer overfitting similar ml methods © springerverlag berlin heidelberg ","The role of early stopping and population size in XCS for intrusion detection","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","Conference Paper",2006-01-01,"Hussein","Abbass",2006,"2006"
"10.1007/3-540-34518-3_1"," darpa knowledge sharing effort p envisioned new way build intelligent systems proposed following building knowledgebased systems today usually entails constructing new knowledge bases scratch instead done assembling reusable components system developers need worry creating specialized knowledge reasoners new specific task system new system interoperate existing systems using perform reasoning way declarative knowledge problemsolving techniques reasoning services shared among systems approach facilitate building bigger better systems cheaply static knowledge modeled means ontologies problem solving methods specify generic reasoning mechanisms types components can viewed complementary entities can used configure new knowledgebased systems existing reusable components since darpas idea considerable progress made developing conceptual bases build technology allows reusing sharing knowledge components ontologies problem solving methods psms created share reuse knowledge reasoning behavior across domains tasks evolution important fact emergence semantic web according semantic web extension current web information given welldefined meaning better enabling computers people work cooperation cooperation can achieved using shared knowledge components ontologies psms become key instruments developing semantic web currently ontologies widely used knowledge engineering artificial intelligence computer science applications related knowledge management natural language processing ecommerce intelligent integration information information retrieval database design integration bioinformatics education etc chapter present basics ontologies show activities carried ontology development process principles followed ontology design methods methodologies software tools languages available give support one activities first sect define word ontology briefly explaining roots philosophy section devoted explain main components can used model ontologies sect present main ontology design principles sect describe ontology development process context semantic web ontologies can highly distributed present many links among hence notion networked ontologies sect describe development ontologies life cycle sect describe methods methodologies tools commonly used whole ontology development process specific activities among pay attention aimed ontology learning reduce effort needed knowledge acquisition process ontology merging generates unique target ontology several source ontologies ontology alignment establishes different types mappings ontologies hence preserving original ones ontology evaluation evaluates ontology content implementation activity description present ontology languages can used implement ontologies finally conclusions future lines research presented sect springerverlag berlin heidelberg","Ontological engineering: Principles, methods, tools and languages","Ontologies for Software Engineering and Software Technology","Book Chapter",2006-12-01,"Asunción Gómez","Pérez",2006,"2006"
"10.1007/3-540-36189-8_20","© springerverlag berlin heidelberg increasing computational capabilities decreasing costs commonly used devices concomitant development short range adhoc networking technologies will help realize pervasive computing paradigm paper present use semantically rich descriptions devices discover cooperate others vicinity particular describe ongoing projects useddamlfor service discovery service composition data management trust based security pervasive computing environments","Me-services: A framework for secure and personalized discovery, composition and management of services in pervasive environments","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","Conference Paper",2002-01-01,"Tim","Finin",2002,"2002"
"10.1007/3-540-36285-1_24","interest xml databases growing last years paper study problem incorporating probabilistic information xml databases propose probabilistic interval xml pixml short data model paper using data model users can express probabilistic information within xml markups addition provide two alternative formal modeltheoretic semantics pixml data first semantics global semantics relatively intuitive directly amenable computation second semantics local semantics amenable computation prove several results linking two semantics together knowledge first formal model theoretic semantics probabilistic interval xml provide operational semantics may used compute answers queries correct large class probabilistic instances © springerverlag berlin heidelberg ","Probabilistic interval XML","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","Article",2003-01-01,"Lise","Getoor",2003,"2003"
"10.1007/3-540-39967-4_7","© springerverlag berlin heidelberg interchange ontologies across world wide web www cooperation among heterogeneous agents placed main reason development new set ontology specification languages based new web standards xml rdf languages shoe xol rdf oil etc aim represent knowledge contained ontology simple humanreadable way well allow interchange ontologies across web paper establish common framework compare expressiveness reasoning capabilities „traditional“ ontology languages ontolingua okbc ocml flogic loom „webbased“ ontology languages conclude results applying framework selected languages","A roadmap to ontology specification languages","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","Conference Paper",2000-01-01,"Asunción Gómez","Pérez",2000,"2000"
"10.1007/3-540-45584-1_12"," springerverlag berlin heidelbergeffective use vast quantity information now available web will require use semantic web markup languages darpa agent markup language daml languages will enable automated gathering processing much information currently available insufficiently utilized effectively languages will facilitate integration multiagent systems existing information infrastructure part exploration semanticweb technology daml particular constructed ittalks webbased system automatic intelligent notification information technology talks paper describe ittalks system discuss numerous ways use semantic web concepts daml extend ability provide intelligent online service human community agents assisting ","ITTALKS: An application of agents in the semantic web","Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science)","Conference Paper",2001-01-01,"Tim","Finin",2001,"2001"
"10.1007/3-540-48775-1_29","© springerverlag berlin heidelberg paper emphasizes interest xml metalanguage corporate knowledge management presents experiment enterpriseontologyguided search xml documents constituting part corporate memory","Exploitation of XML for corporate knowledge management","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","Conference Paper",1999-01-01,"Rose","Dieng-Kuntz",1999,"1999"
"10.1007/3-540-57322-4_19","© springerverlag berlin heidelberg reasoning time essential applications artificial intelligence many disciplines given certain explicit relationships set events like ability infer additional relationships implicit given example transitivity “” “contains” may allow us infer information regarding sequence events inferences essential story understanding planning causal reasoning great number practical problems one interested constructing time line particular event phenomenon corresponds interval representing duration include seriation archeology behavioral psychology temporal reasoning scheduling combinatorics applications arise nontemporal context example molecular biology arrangement dna segments along linear dna chain involves similar problems interval consistency problems deal events assumed interval real line linearly ordered set reasoning intervals precise topological relationships unknown partially specified golumbic shamir relate two notions interval algebra temporal reasoning community interval graphs combinatorics community obtaining new algorithmic complexity results interest disciplines several versions satisfiability minimum labeling consistent solutions problems temporal interval data investigated satisfiability question shown npcomplete even restricting possible interval relationships subsets relations intersection precedence hand give efficient algorithm several restrictions problem","Reasoning about time","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","Conference Paper",1993-01-01,"Martin Charles","Golumbic",1993,"1993"
"10.1007/3-540-60343-3_25","© springerverlag berlin heidelberg paper explores reasons interplay symbolic continuous representations first provide historical perspective signal symbol integration viewed artificial intelligence ai robotics computer vision communities domain autonomous robotic agents residing dynamically changing environments anchors well different aspects integration allows us look problem entirety models reasoning sensing control actions agents determine three different dimensions discretization agentworld behavioral state space design modeling robotic agents three aspects closely tied together provide good experimental platform addressing signaltosymboltosignal transformation problem present experimental results domain cooperating mobile agents involved tasks navigation manipulation","The problem of signal and symbol integration: A study of cooperative mobile autonomous agent behaviors","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","Conference Paper",1995-01-01,"Ruzena","Bajcsy",1995,"1995"
"10.1007/3540608052_77","© springerverlag berlin heidelberg chapter discusses desirable features languages protocols communication among intelligent information agents desiderata divided seven categories form content semantics implementation networking environment reliability knowledge query manipulation language kqml new language protocol exchanging information knowledge work part larger effort arpa knowledge sharing effort aimed developing techniques methodologies building largescale knowledge bases sharable reusable kqml message format messagehandling protocol support runtime knowledge sharing among agents kqml described evaluated agent communication language relative desiderata","Evaluation of KQML as an agent communication language","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","Conference Paper",1996-01-01,"Tim","Finin",1996,"1996"
"10.1007/978-0-387-76872-4"," book describes probabilistic logic networks pln novel conceptual mathematical computational approach uncertain inference going beyond prior probabilistic approaches uncertain inference pln encompasses ideas induction abduction analogy fuzziness speculation reasoning time causality book provides overview pln context approaches uncertain inference topics addressed text include • basic formalism pln knowledge representation • conceptual interpretation terms used pln • indefinite probability approach quantifying uncertainty providing general method calculating weightofevidence underlying conclusions uncertain inference •specific pln inference rules corresponding truthvalue formulas used determine strength conclusion inference rule strengths premises •largescale inference strategies •inference using variables •indefinite probabilities involving quantifiers •inheritance based properties patterns • novamente cognition engine application pln •temporal causal logic pln researchers graduate students artificial intelligence computer science mathematics cognitive sciences will find novel perspective uncertain inference thoughtprovoking integration ideas variety lines inquiry springer sciencebusiness media llc rights reserved","Probabilistic logic networks: A comprehensive framework for uncertain inference","Probabilistic Logic Networks: A Comprehensive Framework for Uncertain Inference","Book",2009-12-01,"Ben","Goertzel",2009,"2009"
"10.1007/978-1-4020-6710-5_29","twentyfirstcentury technologies will allow creation massively intelligent machines many trillions times smart fast durable humans issues concerning industrial consumer military applications mobile autonomous robots cyborgs computerbased ai systems divisively split humanity ideological camps regarding whether artilects artificial intellects built artilect debate unlike dominate stcentury political landscape potential cause conflict global scale research needed inform policy individual decisions healthy debate initiated now prepare institutions individuals alike impact ai springer sciencebusiness media bv","The artilect debate: Why build superhuman machines, and why not?","Parsing the Turing Test: Philosophical and Methodological Issues in the Quest for the Thinking Computer","Book Chapter",2009-12-01,"Hugo de","Garis",2009,"2009"
"10.1007/978-1-4939-9442-7_14"," springer sciencebusiness media llc part springer naturethe current situation microarray data analysis prospects future briefly discussed chapter competition microarray technologies highthroughput technologies considered data analysis view uptodate limitations dna microarrays important forecast challenges future trends microarray data analysis include data analysis techniques associated increasing sample sizes new feature selection methods deep learning techniques covariate significance testing well false discovery rate methods among procedures better interpretability results","Challenges and Future Trends for Microarray Analysis","Methods in Molecular Biology","Book Chapter",2019-01-01,"Amparo Alonso","Betanzos",2019,"2019"
"10.1007/978-3-030-00794-2_29","© springer nature switzerland ag machine comprehension various forms semantically similar questions similar answers ongoing challenge especially many industrial domains limited set questions hard identify proper semantic match newly asked question answer presented different lexical form paper proposes linguistically motivated taxonomy english questions effective approach question matching combining deep learning models question representations general taxonomy based features experiments performed short datasets demonstrate effectiveness proposed approach better matching classification observed coupling standard distributional features knowledgebased methods","Semantic question matching in data constrained environment","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","Conference Paper",2018-01-01,"Pushpak","Bhattacharyya",2018,"2018"
"10.1007/978-3-030-03062-9_9","© springer nature switzerland ag european initiative smart cities effort european commission improve quality life throughout europe progressing toward energy climate objectives many goals relevant desirable world large propose essential artificial agents smart city theories minds inhabitants describe scenario theories indispensable adequately usefully captured current forms ambient intelligence show new form distributed multiagent artificial intelligence tentacular ai among things entails capacity reasoning planning based highly expressive cognitive calculi logics able intelligently address situation","Toward a smart city using tentacular AI","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","Conference Paper",2018-01-01,"Selmer","Bringsjord",2018,"2018"
