"authors","title","update_date","abstract","nrc_sen","vader_sen","year"
"Matthew E. Levine and Andrew M. Stuart","A Framework for Machine Learning of Model Error in Dynamical Systems",2022-08-18,"development datainformed predictive models dynamical systems widespread interest many disciplines present unifying framework blending mechanistic machinelearning approaches identify dynamical systems noisily partially observed data compare pure datadriven learning hybrid models incorporate imperfect domain knowledge formulation agnostic chosen machine learning model presented continuous discretetime settings compatible model errors exhibit substantial memory errors memoryless first study memoryless linear wrt parametricdependence model error learning theory perspective defining excess risk generalization error ergodic continuoustime systems prove excess risk generalization error bounded terms diminish squareroot t timeinterval training data specified secondly study scenarios benefit modeling memory proving universal approximation theorems two classes continuoustime recurrent neural networks rnns can learn memorydependent model error addition connect one class rnns reservoir computing thereby relating learning memorydependent error recent work supervised learning banach spaces using random features numerical results presented lorenz lorenz multiscale systems compare purely datadriven hybrid approaches finding hybrid methods less datahungry parametrically efficient finally demonstrate numerically data assimilation can leveraged learn hidden dynamics noisy partiallyobserved data illustrate challenges representing memory approach training models",5.95,-0.811,2022
"Kenneth Atz, Francesca Grisoni, Gisbert Schneider","Geometric Deep Learning on Molecular Representations",2022-01-03,"geometric deep learning gdl based neural network architectures incorporate process symmetry information emerged recent paradigm artificial intelligence gdl bears particular promise molecular modeling applications various molecular representations different symmetry properties levels abstraction exist review provides structured harmonized overview molecular gdl highlighting applications drug discovery chemical synthesis prediction quantum chemistry emphasis placed relevance learned molecular features complementarity wellestablished molecular descriptors review provides overview current challenges opportunities presents forecast future gdl molecular sciences",4.8,0.872,2022
"Weiyue Wu, Shaoshan Liu","Dilemma of the Artificial Intelligence Regulatory Landscape",2023-01-24,"startup company autonomous driving space undergone four years painful experiences dealing broad spectrum regulatory requirements compared software industry norm spends overall budget compliances forced spend budget compliances situation alone way reflects dilemma artificial intelligence ai regulatory landscape root cause lack ai expertise legislative executive branches leading lack standardization industry follow article share firsthand experiences advocate establishment fdalike agency regulate ai properly",0.85,-0.785,2023
"Vasileios Moschopoulos, Pantelis Kyriakidis, Aristotelis Lazaridis,
  Ioannis Vlahavas","Lucy-SKG: Learning to Play Rocket League Efficiently Using Deep
  Reinforcement Learning",2023-05-26,"successful tactic followed scientific community advancing ai treat games problems proven lead various breakthroughs adapt strategy order study rocket league widely popular rather underexplored d multiplayer video game distinct physics engine complex dynamics pose significant challenge developing efficient highperformance gameplaying agents paper present lucyskg reinforcement learningbased model learned play rocket league sampleefficient manner outperforming notable margin two highestranking bots game namely necto bot champion successor nexto thus becoming stateoftheart agent contributions include development reward analysis visualization library b novel parameterizable reward shape functions capture utility complex reward types via proposed kinesthetic reward combination krc technique c design auxiliary neural architectures training reward prediction state representation tasks onpolicy fashion enhanced efficiency learning speed performance performing thorough ablation studies component lucyskg showed independent effectiveness overall performance demonstrate prospects challenges using sampleefficient reinforcement learning techniques controlling complex dynamical systems competitive teambased multiplayer conditions",14.4,0.993,2023
"Katsuhisa Morita, Tadahaya Mizuno, and Hiroyuki Kusuhara","Investigation of a Data Split Strategy Involving the Time Axis in
  Adverse Event Prediction Using Machine Learning",2022-10-25,"adverse events serious issue drug development many prediction methods using machine learning developed random split crossvalidation de facto standard model building evaluation machine learning care taken adverse event prediction approach match realworld situation time split uses time axis considered suitable realworld prediction however differences model performance obtained using time random splits clear due lack comparable studies understand differences compared model performance time random splits using nine types compound information input eight adverse events targets six machine learning algorithms random split showed higher area curve values time split six eight targets chemical spaces training test datasets time split similar suggesting concept applicability domain insufficient explain differences derived splitting area curve differences smaller protein interaction datasets subsequent detailed analyses suggested danger confounding use knowledgebased information time split findings indicate importance understanding differences time random splits adverse event prediction strongly suggest appropriate use splitting strategies interpretation results necessary realworld prediction adverse events provide analysis code datasets used present study httpsgithubcommizunogroupaeprediction",5.55,-0.66,2022
"Francesco Brandolin, Matteo Ravasi and Tariq Alkhalifah","PINNslope: seismic data interpolation and local slope estimation with
  physics informed neural networks",2023-05-26,"interpolation aliased seismic data constitutes key step seismic processing workflow obtain high quality velocity models seismic images leveraging idea describing seismic wavefields superposition local plane waves propose interpolate seismic data utilizing physics informed neural network pinn proposed framework two feedforward neural networks jointly trained using local plane wave differential equation well available data two terms objective function primary network assisted positional encoding tasked reconstructing seismic data whilst auxiliary smaller network estimates associated local slopes results synthetic field data validate effectiveness proposed method handling aliased sampled coarsely data data large gaps method compares favorably classic leastsquares inversion approach regularized local planewave equation well pinnbased approach single network precomputed local slopes find introducing second network estimate local slopes whilst time interpolating aliased data overall reconstruction capabilities convergence behavior primary network enhanced additional positional encoding embedded network layer confers network ability converge faster improving accuracy data term",7.6,0.908,2023
"Ib\'eria Medeiros (1), Nuno Neves (1), Miguel Correia (2) ((1) LASIGE,
  Faculdade de Ci\^encias, Universidade de Lisboa, Portugal, (2) INESC-ID,
  Instituto Superior T\'ecnico, Universidade de Lisboa, Portugal)","Statically Detecting Vulnerabilities by Processing Programming Languages
  as Natural Languages",2022-01-19,"web applications continue favorite target hackers due combination wide adoption rapid deployment cycles often lead introduction high impact vulnerabilities static analysis tools important search bugs automatically program source code supporting developers removal however building tools requires programming knowledge discover vulnerabilities paper presents alternative approach tools learn detect flaws automatically resorting artificial intelligence concepts concretely natural language processing approach employs sequence model learn characterize vulnerabilities based annotated corpus afterwards model utilized discover identify vulnerabilities source code implemented dekant tool evaluated experimentally large set php applications wordpress plugins overall found several hundred vulnerabilities belonging classes input validation vulnerabilities zeroday",5.6,0.772,2022
"Michael Saidani (LGI), Harrison Kim, Nawres Ayadhi (LGI), Bernard
  Yannou (LGI)","Can Online Customer Reviews Help Design More Sustainable Products? A
  Preliminary Study on Amazon Climate Pledge Friendly Products",2022-02-16,"online product reviews valuable resource product developers improve design products yet potential value customer feedback improve sustainability performance products still exploited present paper investigates analyzes amazon product reviews bring new light following question sustainable design insights can identified interpreted online product reviews top reviews evenly distributed star ratings three product categories laptop printer cable collected manually annotated analyzed interpreted product category reviews two similar products one environmental certification one standard version compared combined come sustainable design solutions six products considered reviews mentioned directly indirectly aspects attributes exploited improve design products sustainability perspective concrete examples sustainable design leads elicited product reviews given discussed contribution provides baseline future work willing automate process gain insights online product reviews notably deployment machine learning tools use natural language processing techniques discussed promising lines future research",11.15,0.958,2022
"Dhruv Pai, Mentor Kip Ludwig","The impact of varying electrical stimulation parameters on neuromuscular
  response",2021-12-06,"high density neurostimulation systems coming market help spinal cord injury patients stimulating recording neuromuscular function however parameter space systems explore exceedingly large need artificial intelligence ai system optimize need platform will allow us determine optimal parameter space systems project aims build platform mapping controlling neuromuscular activity highthroughput testbed implementing testing closedloop neuromuscular activity abstract presents first phase mapping phase building testbed combining multielectrode stimulationrecording visual motiontracking dprinted rectangular raceway used pairs differential recording electrodes two stimulation electrodes embedded raceway bed nonanesthetized earthworms placed raceway head section stimulating electrodes bipolar sinusoidal stimulation pulses range voltages vpp pulse durations ms ms burst rate pulse per second applied action potentials physical motion recorded analyzed action potentials found correlate expansioncontraction displacements worm segments voltage increases shown increase action potential propagation amplitude using multiple electrode recording allowed us capture wave propagation action potential pulse length worm feasibility platform simultaneously monitor action potentials motion earthworms realtime mapping demonstrated",3.6,0.949,2021
"Jiehui Xu, Haixu Wu, Jianmin Wang, Mingsheng Long","Anomaly Transformer: Time Series Anomaly Detection with Association
  Discrepancy",2022-06-30,"unsupervised detection anomaly points time series challenging problem requires model derive distinguishable criterion previous methods tackle problem mainly learning pointwise representation pairwise association however neither sufficient reason intricate dynamics recently transformers shown great power unified modeling pointwise representation pairwise association find selfattention weight distribution time point can embody rich association whole series key observation due rarity anomalies extremely difficult build nontrivial associations abnormal points whole series thereby anomalies associations shall mainly concentrate adjacent time points adjacentconcentration bias implies associationbased criterion inherently distinguishable normal abnormal points highlight emphassociation discrepancy technically propose emphanomaly transformer new emphanomalyattention mechanism compute association discrepancy minimax strategy devised amplify normalabnormal distinguishability association discrepancy anomaly transformer achieves stateoftheart results six unsupervised time series anomaly detection benchmarks three applications service monitoring space earth exploration water treatment",3.85,0.805,2022
"Xuhai Xu, Mengjie Yu, Tanya R. Jonker, Kashyap Todi, Feiyu Lu, Xun
  Qian, Jo\~ao Marcelo Evangelista Belo, Tianyi Wang, Michelle Li, Aran Mun,
  Te-Yen Wu, Junxiao Shen, Ting Zhang, Narine Kokhlikyan, Fulton Wang, Paul
  Sorenson, Sophie Kahyun Kim, Hrvoje Benko","XAIR: A Framework of Explainable AI in Augmented Reality",2023-03-30,"explainable ai xai established important component aidriven interactive systems augmented reality ar becoming integrated daily lives role xai also becomes essential ar endusers will frequently interact intelligent services however unclear design effective xai experiences ar propose xair design framework addresses provide explanations ai output ar framework based multidisciplinary literature review xai hci research largescale survey probing endusers preferences arbased explanations three workshops experts collecting insights xai design ar xairs utility effectiveness verified via study designers another study endusers xair can provide guidelines designers inspiring identify new design opportunities achieve effective xai designs ar",9.5,0.925,2023
"Zhen Qin, Alexander Lidiak, Zhexuan Gong, Gongguo Tang, Michael B.
  Wakin and Zhihui Zhu","Error Analysis of Tensor-Train Cross Approximation",2022-10-12,"tensor train decomposition widely used machine learning quantum physics due concise representation highdimensional tensors overcoming curse dimensionality cross approximationoriginally developed representing matrix set selected rows columnsis efficient method constructing tensor train decomposition tensor entries tensor train cross approximation achieved remarkable performance practical applications theoretical analysis particular regarding error approximation far lacking knowledge existing results provide elementwise approximation accuracy guarantees lead loose bound extended entire tensor paper bridge gap providing accuracy guarantees terms entire tensor exact noisy measurements results illustrate choice selected subtensors affects quality cross approximation approximation error caused model error andor measurement error may grow exponentially order tensor results verified numerical experiments may important implications usefulness cross approximations highorder tensors encountered description quantum manybody states",8.3,-0.785,2022
"Teaghan O'Briain, Carlos Uribe, Kwang Moo Yi, Jonas Teuwen, Ioannis
  Sechopoulos, and Magdalena Bazalova-Carter","FlowNet-PET: Unsupervised Learning to Perform Respiratory Motion
  Correction in PET Imaging",2022-08-04,"correct respiratory motion pet imaging interpretable unsupervised deep learning technique flownetpet constructed network trained predict optical flow two pet frames different breathing amplitude ranges trained model aligns different retrospectivelygated pet images providing final image similar counting statistics nongated image without blurring effects flownetpet applied anthropomorphic digital phantom data provided possibility design robust metrics quantify corrections comparing predicted optical flows ground truths median absolute error found smaller pixel slice widths improvements illustrated comparing images without motion computing intersection union iou tumors well enclosed activity coefficient variation cov within nomotion tumor volume corrections applied average relative improvements provided network iou total activity cov respectively flownetpet achieved similar results conventional retrospective phase binning approach required one sixth scan duration code data made publicly available httpsgithubcomteaghanflownetpet",3.4,0.865,2022
"Yuhao Chen, E. Zhixuan Zeng, Maximilian Gilles, Alexander Wong","MetaGraspNet_v0: A Large-Scale Benchmark Dataset for Vision-driven
  Robotic Grasping via Physics-based Metaverse Synthesis",2022-08-31,"increasing interest smart factories powered robotics systems tackle repetitive laborious tasks one impactful yet challenging task roboticspowered smart factory applications robotic grasping using robotic arms grasp objects autonomously different settings robotic grasping requires variety computer vision tasks object detection segmentation grasp prediction pick planning etc significant progress made leveraging machine learning robotic grasping particularly deep learning big challenge remains need largescale highquality rgbd datasets cover wide diversity scenarios permutations tackle big diverse data problem inspired recent rise concept metaverse greatly closed gap virtual worlds physical world metaverses allow us create digital twins realworld manufacturing scenarios virtually create different scenarios large volumes data can generated training models paper present metagraspnet largescale benchmark dataset visiondriven robotic grasping via physicsbased metaverse synthesis proposed dataset contains images different object types split difficulties evaluate object detection segmentation model performance different grasping scenarios also propose new layoutweighted performance metric alongside dataset evaluating object detection segmentation performance manner appropriate robotic grasp applications compared existing generalpurpose performance metrics benchmark dataset available opensource kaggle first phase consisting detailed object detection segmentation layout annotations layoutweighted performance metric script",6.6,0.946,2022
"Natal\'i S. M. de Santi and L. Raul Abramo","Improving cosmological covariance matrices with machine learning",2022-09-13,"cosmological covariance matrices fundamental parameter inference since responsible propagating uncertainties data model parameters however data vectors large order estimate accurate precise matrices need huge numbers observations rather costly simulations neither may viable work propose machine learning approach alleviate problem context matrices used study largescale structure small amount data matrices built samples halo power spectra able provide significantly improved matrices almost indistinguishable ones built much larger samples thousands spectra order perform task trained convolutional neural networks denoise matrices using training process data set made entirely spectra extracted simple inexpensive halo simulations mocks show method removes noise matrices cheap simulation also able successfully denoise matrices halo power spectra nbody simulations compare denoised matrices using several metrics score better without signs spurious artifacts help wishart distribution derive analytical extrapolation effective sample augmentation allowed denoiser finally show using denoised matrices cosmological parameters can recovered nearly accuracy using matrices built sample spectra case cheap simulations spectra case nbody simulations particular interest bias hubble parameter h significantly reduced applying denoiser",5.5,0.914,2022
"Cefe L\'opez","Artificial Intelligence and Advanced Materials",2022-09-29,"artificial intelligence gaining strength materials science can contribute profit simultaneous progress race new materials systems processes can devised optimized thanks machine learning techniques progress can turned innovative computing platforms future materials scientists will profit understanding machine learning can boost conception advanced materials review covers aspects computation fundamentals directions taken repercussions produced computation account origins procedures applications artificial intelligence machine learning methods reviewed provide basic knowledge implementation potential materials systems used implement artificial intelligence electric charges finding serious competition information carrying processing agents impact techniques inception new advanced materials deep new paradigm developing implicit knowledge mined conceive materials systems functions instead finding applications found materials far trend can carried hard fathom exemplified power discover unheard materials physical laws buried data",9.35,0.989,2022
"Shubham Innani, Prasad Dutande, Bhakti Baheti, Ujjwal Baid, and Sanjay
  Talbar","Deep Learning based Novel Cascaded Approach for Skin Lesion Analysis",2023-01-18,"automatic lesion analysis critical skin cancer diagnosis ensures effective treatment computer aided diagnosis skin cancer dermoscopic images can significantly reduce clinicians workload help improve diagnostic accuracy although researchers working extensively address problem early detection accurate identification skin lesions remain challenging research focuses two step framework skin lesion segmentation followed classification lesion analysis explored effectiveness deep convolutional neural network based architectures designing encoderdecoder architecture skin lesion segmentation cnn based classification network proposed approaches evaluated quantitatively terms accuracy mean intersection union dice similarity coefficient cascaded end end deep learning based approach first kind classification accuracy lesion significantly improved prior segmentation",2.35,0.25,2023
"Kristijan Bartol and Tomislav Pribanic and David Bojanic and Tomislav
  Petkovic","Can Human Sex Be Learned Using Only 2D Body Keypoint Estimations?",2022-04-21,"paper analyze human male female sex recognition problem present fully automated classification system using d keypoints keypoints represent human joints keypoint set consists joints keypoint estimations obtained using openpose d keypoint detector learn deep learning model distinguish males females using keypoints input binary labels output use two public datasets experimental section dpeople peta peta dataset report accuracy provide model performance details peta dpeople measure effect noisy d keypoint detections performance run separate experiments dpeople ground truth noisy keypoint data finally extract set factors affect classification accuracy propose future work advantage approach input small architecture simple enables us run many experiments keep realtime performance inference source code experiments data preparation scripts available github httpsgithubcomkristijanbartolhumansexclassifier",7.1,-0.202,2022
"Shiming Chen, Ziming Hong, Wenjin Hou, Guo-Sen Xie, Yibing Song, Jian
  Zhao, Xinge You, Shuicheng Yan, and Ling Shao","TransZero++: Cross Attribute-Guided Transformer for Zero-Shot Learning",2022-12-14,"zeroshot learning zsl tackles novel class recognition problem transferring semantic knowledge seen classes unseen ones existing attentionbased models struggled learn inferior region features single image solely using unidirectional attention ignore transferability discriminative attribute localization visual features paper propose cross attributeguided transformer network termed transzero refine visual features learn accurate attribute localization semanticaugmented visual embedding representations zsl transzero consists attributerightarrowvisual transformer subnet avt visualrightarrowattribute transformer subnet vat specifically avt first takes feature augmentation encoder alleviate crossdataset problem improves transferability visual features reducing entangled relative geometry relationships among region features attributerightarrowvisual decoder employed localize image regions relevant attribute given image attributebased visual feature representations analogously vat uses similar feature augmentation encoder refine visual features applied visualrightarrowattribute decoder learn visualbased attribute features introducing semantical collaborative losses two attributeguided transformers teach learn semanticaugmented visual embeddings via semantical collaborative learning extensive experiments show transzero achieves new stateoftheart results three challenging zsl benchmarks codes available urlhttpsgithubcomshimingchentranszeropp",5.6,-0.84,2022
"Max Zimmer and Christoph Spiegel and Sebastian Pokutta","Compression-aware Training of Neural Networks using Frank-Wolfe",2022-05-25,"many existing neural network pruning approaches either rely retraining compensate pruningcaused performance degradation induce strong biases converge specific sparse solution throughout training third paradigm obtains wide range compression ratios single dense training run also avoiding retraining recent work pokutta et al miao et al suggests stochastic frankwolfe sfw algorithm particularly suited training stateoftheart models robust compression propose leveraging ksupport norm ball constraints demonstrate significant improvements results miao et al case unstructured pruning also extend ideas structured pruning domain propose novel approaches ensure robustness pruning convolutional filters well lowrank tensor decompositions convolutional layers latter case approach performs onpar nuclearnorm regularization baselines requiring half computational resources findings also indicate robustness sfwtrained models largely depends gradient rescaling learning rate establish theoretical foundation practice",9.15,0.9,2022
"Han Zheng, Gokul Subramanian Ravi, Hanrui Wang, Kanav Setia, Frederic
  T. Chong, Junyu Liu","Benchmarking variational quantum circuits with permutation symmetry",2022-11-24,"propose sncqa set hardwareefficient variational circuits equivariant quantum convolutional circuits respective permutation symmetries spatial lattice symmetries number qubits n exploiting permutation symmetries system lattice hamiltonians common many quantum manybody quantum chemistry problems quantum neural networks suitable solving machine learning problems permutation symmetries present lead significant savings computational costs aside theoretical novelty find simulations perform well practical instances learning ground states quantum computational chemistry achieve comparable performances traditional methods tens parameters compared traditional variational quantum circuits pure hardwareefficient ansatz phea show sncqa scalable accurate noise resilient times better performance times square lattice resource savings various lattice sizes key criterions number layers parameters times converge cases suggesting potentially favorable experiment neartime quantum devices",10.6,0.751,2022
"Javier M. Antelis, Marco Cavaglia, Travis Hansen, Manuel D. Morales,
  Claudia Moreno, Soma Mukherjee, Marek J. Szczepa\'nczyk, Michele Zanolin","Using supervised learning algorithms as a follow-up method in the search
  of gravitational waves from core-collapse supernovae",2022-05-11,"present followup method based supervised machine learning ml improve performance search gravitational wave gw burts corecollapse supernovae ccsne using coherent waveburst cwb pipeline ml model discriminates noise signal events using features set reconstruction parameters provided cwb detected noise events discarded yielding reduction false alarm rate far false alarm probability fap thus enhancing statistical significance tested proposed method using strain data first half third observing run advanced ligo ccsne gw signals extracted d simulations ml model learned using dataset noise signal events used identify discard noise events cwb analyses noise signal reduction levels examined single detector networks l h two detector network lh far reduced factor sim sim enhancement statistical significance sim simsigma impact detection efficiencies",2.6,0.649,2022
"H. Dom\'inguez S\'anchez, B. Margalef, M. Bernardi, M. Huertas-Company","SDSS-IV DR17: Final Release of MaNGA PyMorph Photometric and Deep
  Learning Morphological Catalogs",2022-04-13,"present manga pymorph photometric value added catalogue mppvacdr manga deep learning morphological vac mdlmvacdr final data release manga survey part sdss data release dr mppvacdr provides photometric parameters sersic sersicexponential fits d surface brightness profiles manga dr galaxy sample g r bands eg total fluxes half light radii bulgedisk fractions ellipticities position angles etc mdlmvacdr provides deep learningbased morphological classifications galaxies mdlmvacdr includes number morphological properties eg ttype finer separation elliptical s well identification edgeon barred galaxies mppvacdr simply extends manga pymorph photometric vac published sdss data release mppvacdr now include galaxies added make final dr mdlmvacdr implements changes improvements compared previous release mdlmvacdr namely lowend ttypes better recovered new version catalogue also includes separation early latetype galaxies etg ltg classifies two populations complementary way ttype especially intermediate types ttype ttype values show large scatter addition kfold based uncertainties classifications also provided ensure robustness reliability also visually inspected images describe content catalogues show interesting ways can combined",9.1,0.949,2022
